episode,return,length
1101,138.4,670
1102,192.7,675
1103,163.2,701
1104,-163.8,724
1105,101.6,623
1106,142.1,655
1107,-128.4,615
1108,128.6,594
1109,141.7,643
1110,179.5,639
1111,-65.5,483
1112,145.1,630
1113,230.0,984
1114,101.5,751
1115,81.8,841
1116,-57.7,285
1117,151.7,632
1118,187.8,683
1119,104.4,824
1120,-98.0,496
1121,176.6,602
1122,170.4,675
1123,-151.1,644
1124,159.7,689
1125,156.6,646
1126,165.1,655
1127,195.6,587
1128,188.7,461
1129,-99.5,418
1130,171.6,543
1131,167.1,717
1132,-148.2,477
1133,171.1,547
1134,184.5,527
1135,-137.9,458
1136,192.1,554
1137,107.9,682
1138,-75.0,421
1139,-205.9,756
1140,-36.6,410
1141,-49.5,387
1142,193.1,810
1143,-89.4,452
1144,-91.4,522
1145,151.5,660
1146,-75.6,449
1147,-142.3,502
1148,151.1,634
1149,152.1,610
1150,131.4,727
1151,-97.0,496
1152,145.9,515
1153,41.6,1000
1154,171.2,552
1155,38.5,1000
1156,-47.8,276
1157,-50.4,258
1158,181.0,637
1159,207.6,573
1160,-71.2,1000
1161,176.6,629
1162,169.8,590
1163,-120.0,564
1164,-35.3,506
1165,33.2,1000
1166,-56.7,293
1167,209.1,575
1168,197.0,594
1169,-171.0,549
1170,-50.8,537
1171,-73.7,370
1172,-45.8,295
1173,193.4,500
1174,195.8,526
1175,14.4,1000
1176,-148.1,488
1177,-79.3,464
1178,-61.5,439
1179,136.0,568
1180,-90.0,511
1181,-60.0,423
1182,76.9,1000
1183,216.0,485
1184,127.0,911
1185,187.2,519
1186,-85.9,456
1187,98.7,462
1188,129.8,549
1189,-87.5,497
1190,176.5,548
1191,-60.0,349
1192,39.8,1000
1193,211.4,538
1194,-78.7,436
1195,157.2,885
1196,-127.2,581
1197,-76.6,379
1198,-82.9,316
1199,230.4,408
1200,218.5,417
1201,-62.8,414
1202,18.5,1000
1203,-48.3,273
1204,-49.1,422
1205,174.3,524
1206,131.5,508
1207,164.5,496
1208,-86.8,494
1209,-71.8,318
1210,209.7,485
1211,137.0,531
1212,-127.4,426
1213,-73.5,351
1214,182.0,555
1215,141.2,482
1216,-73.5,433
1217,206.0,443
1218,178.0,550
1219,123.8,581
1220,176.8,453
1221,214.2,467
1222,68.8,530
1223,-24.1,246
1224,58.1,1000
1225,-95.7,222
1226,-165.2,482
1227,130.2,613
1228,100.1,658
1229,-107.4,572
1230,-78.1,395
1231,205.3,576
1232,-84.7,428
1233,32.2,1000
1234,186.6,509
1235,141.4,648
1236,-83.7,399
1237,-133.9,575
1238,-117.6,547
1239,169.4,448
1240,196.0,598
1241,13.2,1000
1242,87.8,809
1243,146.3,696
1244,114.1,713
1245,-28.2,423
1246,-66.4,259
1247,83.2,1000
1248,32.7,1000
